,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",1.0987698e-06,6.706125e-08
1,"goldfish, Carassius auratus",2.1244316e-06,4.668818e-07
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",1.7337287e-06,1.519873e-07
3,"tiger shark, Galeocerdo cuvieri",1.347109e-06,5.601569e-08
4,"hammerhead, hammerhead shark",1.8955432e-05,1.1928443e-06
5,"electric ray, crampfish, numbfish, torpedo",4.1484443e-05,4.3025834e-06
6,stingray,1.2086329e-06,2.2027093e-07
7,cock,3.377378e-06,3.152393e-07
8,hen,2.5549207e-06,4.3654137e-07
9,"ostrich, Struthio camelus",2.6303373e-06,2.0236042e-08
10,"brambling, Fringilla montifringilla",1.4512027e-07,2.6831625e-08
11,"goldfinch, Carduelis carduelis",1.0321711e-06,2.3122587e-08
12,"house finch, linnet, Carpodacus mexicanus",4.665391e-07,6.1172805e-08
13,"junco, snowbird",2.7237755e-07,4.2916497e-08
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1.7595771e-06,1.3020934e-07
15,"robin, American robin, Turdus migratorius",5.2622096e-07,1.9578984e-08
16,bulbul,5.178063e-07,5.270449e-08
17,jay,5.116522e-07,4.1553037e-08
18,magpie,1.774105e-06,8.902408e-08
19,chickadee,1.1301525e-07,4.6202437e-08
20,"water ouzel, dipper",4.0226087e-07,2.8296958e-08
21,kite,4.135271e-07,2.5650621e-08
22,"bald eagle, American eagle, Haliaeetus leucocephalus",9.2584474e-07,3.652189e-08
23,vulture,9.261856e-07,3.0981006e-08
24,"great grey owl, great gray owl, Strix nebulosa",4.0985105e-07,3.3583028e-08
25,"European fire salamander, Salamandra salamandra",1.2152939e-06,1.4320008e-07
26,"common newt, Triturus vulgaris",3.664414e-06,4.45653e-07
27,eft,1.3438344e-06,5.430157e-07
28,"spotted salamander, Ambystoma maculatum",4.1852913e-06,4.9203727e-06
29,"axolotl, mud puppy, Ambystoma mexicanum",4.4885865e-06,3.1555783e-07
30,"bullfrog, Rana catesbeiana",4.859273e-07,3.8213136e-07
31,"tree frog, tree-frog",4.3076952e-06,1.3236627e-06
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3.422114e-06,1.0146116e-06
33,"loggerhead, loggerhead turtle, Caretta caretta",1.2725717e-06,2.6421247e-07
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",7.995047e-07,5.428678e-08
35,mud turtle,4.265623e-07,2.103711e-07
36,terrapin,1.4623776e-06,1.1664739e-06
37,"box turtle, box tortoise",4.05673e-07,2.830793e-07
38,banded gecko,7.4538057e-06,1.0641144e-06
39,"common iguana, iguana, Iguana iguana",5.0805505e-07,5.965416e-08
40,"American chameleon, anole, Anolis carolinensis",2.2546903e-06,3.392927e-07
41,"whiptail, whiptail lizard",2.8445554e-06,1.4654985e-07
42,agama,2.0504916e-07,1.1522631e-08
43,"frilled lizard, Chlamydosaurus kingi",3.4715572e-07,4.313734e-08
44,alligator lizard,1.0839076e-06,5.931144e-07
45,"Gila monster, Heloderma suspectum",1.7615424e-05,1.018017e-05
46,"green lizard, Lacerta viridis",4.1356398e-06,2.509245e-07
47,"African chameleon, Chamaeleo chamaeleon",7.2874877e-06,6.605252e-07
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",8.763674e-07,5.2714842e-08
49,"African crocodile, Nile crocodile, Crocodylus niloticus",1.0046931e-06,1.9212537e-07
50,"American alligator, Alligator mississipiensis",1.6704859e-06,9.15551e-08
51,triceratops,1.7584699e-06,7.280496e-07
52,"thunder snake, worm snake, Carphophis amoenus",2.4383853e-06,2.2287222e-06
53,"ringneck snake, ring-necked snake, ring snake",6.2455797e-07,9.721238e-07
54,"hognose snake, puff adder, sand viper",2.5048137e-06,1.9942481e-06
55,"green snake, grass snake",8.178975e-06,8.4727174e-07
56,"king snake, kingsnake",4.2445947e-07,4.6329976e-07
57,"garter snake, grass snake",2.4396795e-07,4.0072965e-07
58,water snake,2.734058e-07,9.4464795e-08
59,vine snake,1.5493519e-05,1.0629236e-06
60,"night snake, Hypsiglena torquata",1.3788925e-05,1.1670555e-05
61,"boa constrictor, Constrictor constrictor",9.2305265e-07,5.6713025e-06
62,"rock python, rock snake, Python sebae",1.5232868e-06,1.3484675e-06
63,"Indian cobra, Naja naja",1.3983419e-05,1.1720316e-06
64,green mamba,5.2551393e-05,3.0106535e-06
65,sea snake,7.90906e-06,4.4380127e-07
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",2.2696853e-05,4.5981906e-06
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",3.1227153e-06,1.5940768e-06
68,"sidewinder, horned rattlesnake, Crotalus cerastes",1.8241504e-05,3.4274738e-06
69,trilobite,2.2826716e-06,4.7687117e-06
70,"harvestman, daddy longlegs, Phalangium opilio",4.407707e-07,1.3733423e-07
71,scorpion,2.3061555e-05,6.889135e-06
72,"black and gold garden spider, Argiope aurantia",1.1941623e-06,2.6157384e-08
73,"barn spider, Araneus cavaticus",1.7368797e-06,3.4158308e-08
74,"garden spider, Aranea diademata",6.552799e-07,5.1291973e-08
75,"black widow, Latrodectus mactans",3.750585e-07,5.0028355e-08
76,tarantula,2.0308505e-06,4.1871775e-07
77,"wolf spider, hunting spider",4.652362e-06,1.3132116e-06
78,tick,4.6593773e-06,1.0254228e-06
79,centipede,8.301804e-06,1.8883287e-06
80,black grouse,3.997792e-07,4.5249013e-09
81,ptarmigan,2.5582548e-07,1.8064444e-08
