,imagenet_class,original_score,perturbated_score
0,"tench, Tinca tinca",2.6716441e-05,2.5193614e-05
1,"goldfish, Carassius auratus",5.465237e-07,1.2143443e-05
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",1.2766059e-05,1.3193744e-05
3,"tiger shark, Galeocerdo cuvieri",3.842626e-06,2.190048e-06
4,"hammerhead, hammerhead shark",2.4806299e-05,3.7570587e-06
5,"electric ray, crampfish, numbfish, torpedo",8.4492154e-07,2.962081e-06
6,stingray,2.0001935e-06,7.5647545e-06
7,cock,0.0003059959,1.5568017e-05
8,hen,5.407591e-05,3.4846237e-06
9,"ostrich, Struthio camelus",2.491187e-05,5.3008773e-07
10,"brambling, Fringilla montifringilla",7.969771e-06,1.3863797e-06
11,"goldfinch, Carduelis carduelis",4.6207656e-06,3.8583667e-06
12,"house finch, linnet, Carpodacus mexicanus",2.5321433e-05,6.3750294e-06
13,"junco, snowbird",9.179102e-06,2.2820336e-06
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",4.366525e-06,1.3980257e-05
15,"robin, American robin, Turdus migratorius",1.8948498e-05,3.7306717e-07
16,bulbul,3.4798315e-05,4.0302975e-06
17,jay,8.617822e-06,6.034255e-06
18,magpie,2.6726459e-05,1.9391762e-06
19,chickadee,5.215349e-05,2.9033185e-06
20,"water ouzel, dipper",1.2577061e-05,7.1734956e-07
21,kite,1.7371014e-05,9.105497e-07
22,"bald eagle, American eagle, Haliaeetus leucocephalus",7.2633695e-05,1.4578267e-06
23,vulture,0.0002459269,2.754525e-06
24,"great grey owl, great gray owl, Strix nebulosa",1.6503313e-05,1.0448598e-06
25,"European fire salamander, Salamandra salamandra",2.3501245e-06,7.6632625e-07
26,"common newt, Triturus vulgaris",1.1226555e-06,4.2271347e-07
27,eft,3.118455e-06,1.4390532e-06
28,"spotted salamander, Ambystoma maculatum",4.267018e-06,2.393837e-06
29,"axolotl, mud puppy, Ambystoma mexicanum",2.2251254e-06,7.019297e-06
30,"bullfrog, Rana catesbeiana",7.2792595e-06,1.4933228e-05
31,"tree frog, tree-frog",1.6663844e-06,3.074671e-06
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4.475073e-06,8.754371e-06
33,"loggerhead, loggerhead turtle, Caretta caretta",6.615906e-06,2.3432192e-06
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",9.861949e-06,2.2574075e-06
35,mud turtle,1.1816994e-05,8.44621e-06
36,terrapin,1.652366e-05,6.767561e-05
37,"box turtle, box tortoise",6.575698e-06,5.7056905e-06
38,banded gecko,2.2480244e-06,8.828129e-07
39,"common iguana, iguana, Iguana iguana",8.632657e-05,3.9492247e-06
40,"American chameleon, anole, Anolis carolinensis",8.913455e-06,2.1000114e-06
41,"whiptail, whiptail lizard",3.0046325e-05,5.956981e-07
42,agama,6.4750857e-06,8.26821e-07
43,"frilled lizard, Chlamydosaurus kingi",1.3918351e-05,2.3219438e-06
44,alligator lizard,2.5370697e-05,1.9291012e-06
45,"Gila monster, Heloderma suspectum",4.7461937e-05,4.808377e-06
46,"green lizard, Lacerta viridis",1.0051137e-05,3.89392e-06
47,"African chameleon, Chamaeleo chamaeleon",3.2092814e-06,2.8109969e-06
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",2.815354e-05,1.9562426e-06
49,"African crocodile, Nile crocodile, Crocodylus niloticus",2.9091836e-05,2.2194718e-06
50,"American alligator, Alligator mississipiensis",5.5391654e-05,1.3213551e-05
51,triceratops,2.6539394e-05,2.298855e-06
52,"thunder snake, worm snake, Carphophis amoenus",5.656766e-05,1.949895e-06
53,"ringneck snake, ring-necked snake, ring snake",2.6844678e-05,3.7510943e-06
54,"hognose snake, puff adder, sand viper",0.00012120206,2.8080228e-06
55,"green snake, grass snake",5.4779985e-06,3.6915374e-06
56,"king snake, kingsnake",9.067267e-06,6.526884e-07
57,"garter snake, grass snake",1.8647917e-05,1.252012e-06
58,water snake,4.4030558e-06,4.0560044e-06
59,vine snake,4.7591657e-05,1.2926899e-05
60,"night snake, Hypsiglena torquata",0.000114936185,9.700238e-06
61,"boa constrictor, Constrictor constrictor",6.660375e-05,1.632146e-05
62,"rock python, rock snake, Python sebae",3.9119204e-05,5.0994886e-06
63,"Indian cobra, Naja naja",0.00036102955,1.9313482e-05
64,green mamba,3.71715e-05,3.6904216e-06
65,sea snake,4.353286e-06,2.7223532e-06
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",2.0671838e-05,2.7799055e-07
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.0003701615,5.06987e-06
68,"sidewinder, horned rattlesnake, Crotalus cerastes",4.6443995e-05,4.187756e-07
69,trilobite,4.7319212e-05,1.5136602e-05
70,"harvestman, daddy longlegs, Phalangium opilio",5.5424234e-06,8.682492e-08
71,scorpion,4.752852e-05,1.2910747e-05
72,"black and gold garden spider, Argiope aurantia",5.8756727e-06,9.843419e-07
73,"barn spider, Araneus cavaticus",5.6668873e-06,2.3256969e-07
74,"garden spider, Aranea diademata",6.925097e-06,1.2629632e-06
75,"black widow, Latrodectus mactans",8.590399e-06,1.3456565e-06
76,tarantula,4.844394e-05,5.374527e-06
77,"wolf spider, hunting spider",6.7884075e-06,3.8412736e-07
78,tick,2.7042945e-05,2.0052214e-06
79,centipede,3.1226675e-05,7.0478322e-06
80,black grouse,2.8614653e-05,2.0181287e-06
81,ptarmigan,2.8906321e-05,8.9143555e-07
82,"ruffed grouse, partridge, Bonasa umbellus",3.729514e-05,8.584907e-06
83,"prairie chicken, prairie grouse, prairie fowl",1.6237105e-05,4.664038e-07
84,peacock,7.0431124e-06,1.275434e-06
85,quail,1.8594234e-05,2.1448968e-06
86,partridge,2.6823694e-05,6.61765e-06
87,"African grey, African gray, Psittacus erithacus",0.00035555672,2.594683e-05
88,macaw,6.4481314e-06,1.04149285e-05
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",2.7414086e-05,2.6385726e-06
